filename,transcription
03-01-01-01-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-01-01-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-01-01-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-01-01-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-01-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-01-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-01-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-01-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-02-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-02-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-02-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-02-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-01-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-03-01-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-03-01-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-01-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-02-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-03-02-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-03-02-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-02-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-01-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-04-01-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-04-01-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-01-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-02-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-04-02-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-04-02-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-02-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-01-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-01-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-01-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-01-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-02-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-02-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-02-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-02-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-01-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-06-01-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-06-01-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-01-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-02-01-01-01.wav,CIDS OR TALKIN BY THE DOOR
03-01-06-02-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-06-02-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-02-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-07-01-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-07-01-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-07-01-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-07-01-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-07-02-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-07-02-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-07-02-02-01-01.wav,OLD DOGS ARE SITTING BY THE DOOR
03-01-07-02-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-08-01-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-08-01-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-08-01-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-08-01-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-08-02-01-01-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-08-02-01-02-01.wav,KIDS ARE TALKING BY THE DOOR
03-01-08-02-02-01-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-08-02-02-02-01.wav,DOGS ARE SITTING BY THE DOOR
03-01-01-01-01-01-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-01-01-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-01-01-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-01-01-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-01-01-01-02.wav,KITS ARE TALKING BY THE DOOR
03-01-02-01-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-01-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-01-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-02-01-01-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-02-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-02-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-02-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-01-01-01-02.wav,KITS ARE TALKING BY THE DOOR
03-01-03-01-01-02-02.wav,KITS ARE TALKING BY THE DOOR
03-01-03-01-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-01-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-02-01-01-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-03-02-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-03-02-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-02-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-01-01-01-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-04-01-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-04-01-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-01-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-02-01-01-02.wav,KIDS ARE TALKING WITH THE TOR
03-01-04-02-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-04-02-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-02-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-01-01-01-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-01-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-01-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-01-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-02-01-01-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-02-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-02-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-02-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-01-01-01-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-06-01-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-06-01-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-01-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-02-01-01-02.wav,KIDS ARE TALKING BY THE TOR
03-01-06-02-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-06-02-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-02-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-07-01-01-01-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-07-01-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-07-01-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-07-01-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-07-02-01-01-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-07-02-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-07-02-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-07-02-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-08-01-01-01-02.wav,KITS ARE TALKING BY THE DOOR
03-01-08-01-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-08-01-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-08-01-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-08-02-01-01-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-08-02-01-02-02.wav,KIDS ARE TALKING BY THE DOOR
03-01-08-02-02-01-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-08-02-02-02-02.wav,DOGS ARE SITTING BY THE DOOR
03-01-01-01-01-01-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-01-01-01-02-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-01-01-02-01-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-01-01-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-01-01-01-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-01-01-02-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-01-02-01-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-01-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-02-01-01-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-02-01-02-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-02-02-02-01-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-02-02-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-01-01-01-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-03-01-01-02-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-03-01-02-01-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-01-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-03-02-01-01-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-03-02-01-02-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-03-02-02-01-03.wav,THE DOGS ARE SITITTING BY THE DOOR
03-01-03-02-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-01-01-01-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-04-01-01-02-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-04-01-02-01-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-01-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-02-01-01-03.wav,THE KIDS ARE TALKING BY THE DOOR
03-01-04-02-01-02-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-04-02-02-01-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-04-02-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-01-01-01-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-01-01-02-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-01-02-01-03.wav,DODS ARE SITTING BY THE DOOR
03-01-05-01-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-02-01-01-03.wav,KINS ARE TALKING BY THE DOOR
03-01-05-02-01-02-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-05-02-02-01-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-05-02-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-01-01-01-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-06-01-01-02-03.wav,THE KIDS ARE TALKING BY THE DOOR
03-01-06-01-02-01-03.wav,THE DOGS ARE SITTING BY THE DOOR
03-01-06-01-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-02-01-01-03.wav,KIDS ARE TALKING BY THE DOOR
03-01-06-02-01-02-03.wav,EKITS ARE TALKING BY THE DOOR
03-01-06-02-02-01-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-06-02-02-02-03.wav,DOGS ARE SITTING BY THE DOOR
03-01-07-01-01-01-03.wav,KILBS ARE TALKING BY THE DOOR
